CCG19CD,CCG19NM,CTYUA19CD,CTYUA19NM,CCG_AREA_HA,CTYUA_AREA_HA,CCG_CTYUA_AREA_PROP,PCDS_IN_CCG,PCDS_IN_CTYUA,CCG_CTYUA_PCD_PROP
E38000050,NHS East Lancashire CCG,E10000017,Lancashire,91407.33168,308300.7978,0.3,11153,32602,0.342095577
E38000200,NHS West Lancashire CCG,E10000017,Lancashire,38106.59831,308300.7978,0.12,2735,32602,0.083890559
E38000226,NHS Fylde and Wyre CCG,E10000017,Lancashire,52685.37128,308300.7978,0.17,5378,32602,0.164959205
E38000227,NHS Greater Preston CCG,E10000017,Lancashire,37016.68676,308300.7978,0.12,4861,32602,0.149101282
E38000228,NHS Morecambe Bay CCG,E10000017,Lancashire,65404.79665,308300.7978,0.21,4214,32602,0.129255874
E38000051,NHS East Leicestershire and Rutland CCG,E10000018,Leicestershire,120458.9326,208378.6964,0.58,7312,16192,0.451581028
E38000201,NHS West Leicestershire CCG,E10000018,Leicestershire,87896.0949,208378.6964,0.42,8880,16192,0.548418972
E38000100,NHS Lincolnshire West CCG,E10000019,Lincolnshire,116588.9062,610276.8763,0.19,6648,22697,0.292902146
E38000099,NHS Lincolnshire East CCG,E10000019,Lincolnshire,276849.7171,610276.8763,0.45,8130,22697,0.358197119
E38000157,NHS South Lincolnshire CCG,E10000019,Lincolnshire,94043.53706,610276.8763,0.15,4045,22697,0.178217386
E38000165,NHS South West Lincolnshire CCG,E10000019,Lincolnshire,121862.1077,610276.8763,0.2,3874,22697,0.17068335
E38000063,NHS Great Yarmouth and Waveney CCG,E10000020,Norfolk,18218.69848,550835.0443,0.03,2664,28473,0.093562322
E38000124,NHS North Norfolk CCG,E10000020,Norfolk,150711.6843,550835.0443,0.27,6816,28473,0.23938468
E38000218,NHS Norwich CCG,E10000020,Norfolk,9516.853138,550835.0443,0.02,5371,28473,0.188634847
E38000219,NHS South Norfolk CCG,E10000020,Norfolk,169328.2702,550835.0443,0.31,7780,28473,0.273241316
E38000203,NHS West Norfolk CCG,E10000020,Norfolk,200970.0745,550835.0443,0.36,5842,28473,0.205176834
E38000026,NHS Cambridgeshire and Peterborough CCG,E10000021,Northamptonshire,28541.1727,236699.0169,0.12,552,17559,0.03143687
E38000037,NHS Corby CCG,E10000021,Northamptonshire,8026.870829,236699.0169,0.03,1521,17559,0.086622245
E38000108,NHS Nene CCG,E10000021,Northamptonshire,200110.6877,236699.0169,0.85,15486,17559,0.881940885
E38000001,"NHS Airedale, Wharfedale and Craven CCG",E10000023,North Yorkshire,104029.4767,805294.0989,0.13,2391,23193,0.10309145
E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",E10000023,North Yorkshire,284089.8532,805294.0989,0.35,7083,23193,0.305393869
E38000073,NHS Harrogate and Rural District CCG,E10000023,North Yorkshire,130908.9549,805294.0989,0.16,5323,23193,0.229508904
E38000145,NHS Scarborough and Ryedale CCG,E10000023,North Yorkshire,103427.3277,805294.0989,0.13,3437,23193,0.148191265
E38000188,NHS Vale of York CCG,E10000023,North Yorkshire,168947.2435,805294.0989,0.21,4623,23193,0.199327383
E38000228,NHS Morecambe Bay CCG,E10000023,North Yorkshire,13851.91577,805294.0989,0.02,336,23193,0.01448713
E38000008,NHS Bassetlaw CCG,E10000024,Nottinghamshire,63938.33268,208689.4713,0.31,3698,20378,0.181470213
